id,question_id,answer_no,answer,genre_id,keyword_id
1001,1001,1,Experience local culture,1005,1013
1002,1001,2,Visit sightseeing spots,1008,1025
1003,1002,1,Nature,1008,1024
1004,1002,2,Architecture,1001,1002
1005,1002,3,Local Culture,1012,1039
1006,1002,4,Amusement Spots,1011,1034
1007,1003,1,mountain,1008,1025
1008,1003,2,lake,1008,1024
1009,1003,3,river,1008,1027
1010,1003,4,plateau,1008,1026
1011,1004,1,Castle,1001,1001
1012,1004,2,Temple / Shrine,1001,1002
1013,1004,3,Tower,1001,1003
1014,1005,1,Climbing,1010,1031
1015,1005,2,Paragliding,1010,1032
1016,1005,3,Diving,1010,1033
1017,1006,1,Zoo,1011,1035
1018,1006,2,Amusement Park,1011,1036
1019,1006,3,Aquarium,1011,1038
1020,1007,1,Japanese food,1006,1020
1021,1007,2,Western food,1013,1044
1022,1007,3,Chinese food,1014,1049
1023,1008,1,Sushi,1006,1020
1024,1008,2,Eel,1006,1017
1025,1008,3,Ramen,1006,1019
1026,1008,4,Buckwheat noodle,1006,1016
1027,1008,5,Fried dumplings,1006,1018
1028,1009,1,Japanese Style,1012,1040
1029,1009,2,Western Style,1007,1021
1030,1010,1,Relax,1003,1009
1031,1010,2,Hot Spring,1012,1039
1032,1010,3,Unique to Japan,1012,1042
1033,1010,4,Price,1009,1029
